user_id,name,email,geographic_location,signup_date,last_login_date,subscription_tier,missed_payments,canceled_subscription,upgraded_subscription,upgrade_date,customer_support_tickets,ticket_resolved,churned
dfdda702-86be-48ae-8052-fc325b85c176,Jackson Chen,rogersmatthew@example.org,Vanuatu,2022-08-14,2023-07-30,enterprise,2,,True,2023-01-02,1,False,False
005f4a54-e65e-4653-9aa7-3bb70a82f062,Caroline Rogers,ktapia@example.org,Finland,2021-12-12,2022-07-04,basic,3,,True,2022-03-19,9,True,False
c6b5f8eb-e435-4b7e-8b21-e81ae750e566,Jerry Koch,christian16@example.com,Bouvet Island (Bouvetoya),2021-09-15,2021-12-05,pro,1,,False,,1,False,False
1e18524d-5041-4f75-bec1-11dfeffdeae3,Mark Martin,ksullivan@example.org,Guinea,2021-01-08,2021-09-01,basic,2,2021-10-31,True,2021-06-28,4,,True
3aeaad77-a64a-4914-bf1d-2454b4f67c27,Maria Johnson,leslieharrington@example.net,Andorra,2024-05-10,2025-04-30,pro,1,,False,,9,,False
6631ec3e-e713-474a-88f6-82f434a9ba6b,Adrian Lane,jasoncooper@example.com,Tuvalu,2023-03-14,2023-10-10,basic,0,,True,2023-05-01,10,,False
3fceced3-2124-4e87-81ae-2f649bd6b039,Lisa Smith,rgreen@example.org,Moldova,2024-09-29,2025-09-23,basic,1,,True,2024-11-03,10,,False
a15ba6f2-0ef2-41da-9fb1-913b763ee50f,Michael Miles,susanhicks@example.com,India,2021-04-13,2021-12-27,enterprise,1,2022-03-27,True,2021-05-20,2,,True
4f816664-2c18-4504-a11a-bd7398acbdba,Mrs. Lisa Underwood,svega@example.com,Nepal,2022-01-26,2023-01-22,enterprise,1,,False,,0,False,False
b0621bbb-742f-41b8-8ea5-48cd6962b748,April Randall,mcarlson@example.com,United States Minor Outlying Islands,2023-07-27,2024-02-22,basic,1,,False,,4,,False
5aa6f555-6650-4fde-9494-96662f798a91,Derek Smith,bwagner@example.org,Antigua and Barbuda,2020-08-05,2021-03-01,pro,2,,False,,3,,False
fe2c41cd-3d97-4a5d-964e-d538a3f36f02,Donna Murray,obrown@example.org,Kuwait,2020-05-13,2020-11-16,basic,2,2020-08-18,True,2020-07-21,2,,True
97110ddc-56e7-4336-9db0-f92bf00d56f6,Kayla Buckley,nicole97@example.com,Syrian Arab Republic,2022-08-07,2023-05-07,pro,0,,False,,2,,False
64a96c2d-a101-4a82-a4f9-ff41e505d748,Steven Welch,clarkdavid@example.org,Hong Kong,2021-08-28,2021-10-29,pro,3,,False,,0,,False
3e1239ff-d993-40a9-ad2b-2da60f5d1b3c,Joseph Roberts,gravessandra@example.net,Bahrain,2021-12-31,2022-04-10,basic,0,,True,2022-06-10,8,False,False
eec50e12-9171-44cb-9817-504544637a70,Amy Hayes,bakerkevin@example.net,Ireland,2024-12-31,2025-12-18,enterprise,3,,True,2025-01-30,1,False,False
50550422-8e1f-4913-9761-5ef06201789b,Amy Goodman,iwhite@example.org,Greece,2023-10-10,2024-09-15,basic,1,,False,,3,,False
e1f3502a-92bd-4642-9b3a-062b636cbce1,Timothy Mccarthy,apowell@example.net,Wallis and Futuna,2020-08-29,2021-08-03,enterprise,1,2021-06-04,False,,3,False,True
35aacdf1-44d4-450a-9dda-8b658f9c5313,David Ortega,john39@example.com,Syrian Arab Republic,2021-03-07,2021-09-04,enterprise,0,,False,,0,,False
31826a61-fd07-4d73-993a-be61edb54d8e,Joseph Young,alexandracastro@example.org,Romania,2023-05-26,2023-06-21,pro,3,2024-03-20,False,,10,True,True
6f65b29b-fe08-4bd5-88dd-bba06d7ae3f4,Chelsea Tran,rodney96@example.org,Liechtenstein,2024-03-28,2024-10-05,enterprise,1,,True,2024-07-15,9,,False
46192fe6-4be5-4332-a2c0-f86ae3e8460f,Angela Harris,alexander45@example.net,Fiji,2020-10-10,2021-06-29,basic,2,2021-09-19,False,,8,,True
c057fb66-78ac-450e-835a-00c956c1f6d2,Melissa Rivas,brett77@example.net,Cayman Islands,2022-09-02,2023-02-12,basic,0,,False,,9,,False
4870b4ba-537d-47dd-9ebb-783e6c3dfb27,Kevin Patel,sullivanmary@example.net,Botswana,2020-12-10,2021-06-21,enterprise,3,2021-11-11,False,,9,,True
610c58da-6d9e-4483-9a12-2a491a3bc742,Stephanie Cantu,dbarr@example.com,Saint Vincent and the Grenadines,2024-03-04,2024-04-22,basic,1,2024-06-28,True,2024-05-27,6,,True
2ea12919-083f-453d-a319-4a54bc295d9b,Karen Marks,stephanie51@example.org,Togo,2023-01-14,2023-06-10,enterprise,2,,False,,6,,False
44cffa99-bb88-43ac-8c26-a3a18d07cf1d,Kim Miller,fbailey@example.org,Palestinian Territory,2021-05-29,2021-08-25,pro,3,,False,,6,,False
cfbb9c64-f4af-41bf-abac-6c9148179095,Courtney Williams,rasmussendiane@example.com,Lithuania,2024-05-21,2024-09-30,basic,1,,False,,0,,False
7627495e-d104-439a-8646-097789805b8e,Katherine Hayden,pattersonjoanna@example.org,Sierra Leone,2024-05-20,2024-06-20,basic,2,2024-10-16,False,,3,True,True
f0bfbab5-a68b-48b1-a11d-5347ca26f4dd,Jessica Shaw,chapmanmeredith@example.com,Tokelau,2023-11-29,2024-09-02,enterprise,0,,False,,8,,False
829c58f7-97cf-4a28-945a-c12291893623,Sandra Bennett,fanderson@example.net,Mozambique,2024-11-26,2025-03-22,basic,1,,False,,5,False,False
78e8e0ca-2819-4a29-a255-ad8c4965dd80,Mitchell Ingram,frankscott@example.com,Saudi Arabia,2024-02-20,2024-05-21,pro,2,2024-12-07,True,2024-07-16,9,,True
9b9131e6-0355-4048-81fb-2cec5bf4c4c0,Susan Alvarez,reynoldsbenjamin@example.net,Nicaragua,2021-02-06,2021-03-22,pro,2,2021-08-13,True,2021-04-11,3,,True
e26801b4-2a66-4af8-be82-2bbdcf9fd18d,Sydney Mclaughlin,tatejason@example.net,Australia,2023-03-22,2023-11-21,pro,1,2024-03-14,False,,9,,True
9a856b96-2059-447f-b87f-ae5dfa052896,Jessica Bender,brianbutler@example.org,Belgium,2020-06-30,2021-04-18,enterprise,2,,True,2020-10-31,3,,False
67ecef7c-ca72-458c-90c9-b3dfcb199860,Joel Ford,lwhite@example.org,Australia,2023-03-15,2023-05-25,basic,3,,False,,4,True,False
f5580b72-a61c-4a78-b938-c1fa958de03f,Stephanie Rodriguez,houstonpatrick@example.org,Nepal,2021-09-09,2022-09-08,enterprise,0,2022-01-16,True,2022-02-16,8,,True
0ea487ae-06bf-4112-a4f3-110dc4cd4fd5,Jennifer Simmons,ghill@example.com,Sri Lanka,2021-03-23,2021-08-21,basic,3,,False,,4,,False
a92ba835-0cf8-496b-971c-e56e5df2d77e,Matthew Blackwell,lisajohnson@example.com,Namibia,2022-08-28,2023-07-07,basic,2,2023-03-17,False,,10,False,True
3478769b-a259-4374-878c-e599b03ea793,Cassie Cook,crystalmitchell@example.com,Slovakia (Slovak Republic),2021-03-22,2021-09-04,basic,3,,True,2021-06-24,2,,False
d5691c35-eaba-4928-863c-e115cc324988,Victor Graham,emilyjones@example.com,Cambodia,2024-09-02,2024-09-30,enterprise,2,2025-01-26,False,,8,False,True
56a267ae-c485-4478-b56e-ecca6bc24ecf,Michael Ramirez,anthonysmith@example.net,Croatia,2020-12-31,2021-11-02,enterprise,2,,False,,7,,False
3b07f935-c87d-4a52-a484-88f375a8aa08,Allison Maynard,lzimmerman@example.com,Faroe Islands,2024-01-16,2024-02-11,enterprise,0,2024-07-30,True,2024-05-20,7,,True
c0b62627-1505-4a17-bae2-bb9f4aa5f204,Daniel Wilson,bryantabigail@example.org,China,2022-12-07,2023-09-08,enterprise,3,2023-09-18,False,,1,,True
dca611e8-e048-4163-88f0-27dbd435b7c0,Dr. Victor Sims,manuel61@example.org,Bhutan,2023-06-07,2023-11-28,basic,2,,True,2023-11-27,2,False,False
3ffa5bd7-9e3d-4579-8945-de6015588937,Alexandria Shaffer,melanie38@example.org,Guadeloupe,2024-04-10,2024-07-07,pro,1,,False,,6,,False
1d066a16-c2a5-4861-a39a-96bff4790150,Donna Parsons,brandonfisher@example.net,Palau,2023-09-15,2023-12-31,basic,3,2024-08-25,False,,7,,True
0b30c394-1d6b-417e-a280-475e362f3d43,Joseph Woods,fmorris@example.org,Philippines,2023-05-22,2023-08-09,pro,2,,False,,0,True,False
5dfe7131-18dd-4c74-b191-6d72a994aa62,Theodore Peterson,zpayne@example.com,Macao,2021-12-28,2022-04-18,pro,2,,False,,9,,False
7e8b84b1-51ec-41be-90f4-0f5ec4e80c7d,Grant Gillespie,marshjoseph@example.net,Seychelles,2023-08-02,2023-08-05,basic,3,2024-05-30,False,,7,False,True
54c3d830-5c05-453a-a177-7c2d9a0f811f,Johnny Herrera,joshuaaguirre@example.org,Poland,2022-06-26,2022-12-19,basic,1,,True,2022-11-14,10,,False
a4d58f62-41e4-44c2-85d4-f95340bef602,Justin Day,wrightapril@example.com,Saint Lucia,2024-11-02,2024-11-30,basic,0,2025-10-31,False,,8,,True
67e24622-913f-4046-bae1-3449282c8635,Miss Amber Pearson,brian18@example.com,Montenegro,2020-09-06,2021-03-23,enterprise,2,2021-01-21,True,2020-12-19,9,True,True
1b3017e5-0db1-444e-886c-8420c6ffd7cf,Lisa Robinson,james81@example.com,Guyana,2021-09-24,2022-02-07,pro,0,,False,,1,,False
4464762f-73ae-4f33-b8d4-80fbdaf1af80,Mark Smith,ydaniels@example.com,Western Sahara,2021-07-22,2021-09-14,enterprise,3,2021-12-26,False,,6,False,True
17632cd0-6091-461e-b618-be0f142eaaa1,Brent Santos,reedandrew@example.org,Sri Lanka,2020-02-18,2020-09-30,basic,2,,True,2020-06-22,0,,False
1358e103-00dd-4ca9-b1cb-522c4ab1a7d9,Justin Nelson,williamskyle@example.net,Nauru,2023-02-09,2023-11-29,pro,1,,False,,4,,False
731595db-1c80-42ab-b908-06ac4a44ac71,Christina Smith,aaron89@example.org,Afghanistan,2021-02-22,2021-11-08,basic,1,2021-10-12,True,2021-05-18,2,,True
9d01fa82-3006-448d-8847-49121d4493dd,Jessica Brown,leslie34@example.org,Suriname,2020-05-14,2021-04-24,enterprise,0,2020-07-27,True,2020-07-09,8,,True
4d4ec117-e132-425c-b22b-37d5595af741,Cassandra Cooke,qwalton@example.com,Guyana,2023-09-18,2023-11-09,basic,0,,False,,9,,False
3c339a79-6323-4cbd-9d6b-1120e98ff0d5,Michelle Williams,annadixon@example.net,Jamaica,2020-08-22,2020-11-02,pro,1,2021-07-05,False,,6,,True
3a83d991-a4ff-4e06-aa66-47cc6522adef,Cindy Morrison,ipayne@example.org,Lithuania,2021-03-01,2022-02-14,pro,2,,False,,6,,False
